investor,year,weighted_score
"FCG ADVISORS, LLC",2013,16.376069713116273
GATEWAY INVESTMENT ADVISERS LLC,2013,16.375426364229103
ING GROEP NV,2017,16.3733174093876
HARVEY CAPITAL MANAGEMENT INC,2013,16.366551990066185
FIRST COMMONWEALTH FINANCIAL CORP /PA/,2013,16.364578429163846
"Long Road Investment Counsel, LLC",2017,16.35953467589769
PEOPLES FINANCIAL SERVICES CORP.,2015,16.355284793503493
ZWEIG ADVISERS LLC,2013,16.352368616135863
"Greenbrier Partners Capital Management, LLC",2013,16.347397054871603
BURKE & HERBERT BANK & TRUST CO,2013,16.342741348186173
BARROW HANLEY MEWHINNEY & STRAUSS LLC,2015,16.33717602138822
"TAURUS ASSET MANAGEMENT, LLC",2013,16.332709507441457
DELTA LLOYD NV,2015,16.33024606291098
Impax Asset Management LTD,2013,16.329570832463283
GW HENSSLER & ASSOCIATES LTD,2013,16.329336846186315
KDI CAPITAL PARTNERS LLC,2017,16.327433016318533
JLB & ASSOCIATES INC,2013,16.32276914064458
"RobecoSam USA, Inc.",2015,16.319910799645744
ABNER HERRMAN & BROCK LLC,2017,16.314248654437108
JET CAPITAL INVESTORS L P,2015,16.308728338137076
Goodman Financial Corp,2015,16.30544751124321
"KNIGHTSBRIDGE ASSET MANAGEMENT, LLC",2013,16.304706066424707
AKRE CAPITAL MANAGEMENT LLC,2013,16.296224579036505
PROVIDENT TRUST CO,2013,16.29373553779297
"Gyroscope Capital Management Group, LLC",2015,16.293283746611834
South Dakota Investment Council,2015,16.29223372146575
Third Point LLC,2015,16.29148847916335
Texas Yale Capital Corp.,2017,16.2913505460463
GENERAL AMERICAN INVESTORS CO INC,2013,16.29004017545636
"BRIGHT ROCK CAPITAL MANAGEMENT, LLC",2015,16.285052652540998
American Research & Management Co.,2015,16.27999287813865
Irish Life Investment Managers Ltd.,2013,16.275006276110204
"LEVIN CAPITAL STRATEGIES, L.P.",2013,16.274414135939715
Indices-Pac Research Corp.,2013,16.273967484253625
BAUPOST GROUP LLC/MA,2013,16.262857906854347
"THOMPSON INVESTMENT MANAGEMENT, INC.",2013,16.26066425219195
KANAWHA CAPITAL MANAGEMENT LLC,2017,16.25767734414505
BRIGHTON JONES LLC,2017,16.255995051540964
HELLMAN JORDAN MANAGEMENT CO INC /MA/,2015,16.25238960089776
"Altimeter Capital Management, LLC",2013,16.24981139797194
"UNITED BANK, INC.",2017,16.246942923012803
ARMSTRONG SHAW ASSOCIATES INC/CT,2017,16.235650171480298
"DSC Advisors, L.P.",2013,16.234081198709845
BARR E S & CO,2015,16.233025139191092
"Stanley Capital Management, LLC",2015,16.222341767254967
Tetrem Capital Management Ltd.,2017,16.21492925665642
TIVERTON ASSET MANAGEMENT LLC,2013,16.205414824679927
"Billeaud Capital Management, Inc.",2017,16.201893195846218
Black Creek Investment Management Inc.,2013,16.19793813990371
"Verity & Verity, LLC",2017,16.17984251619917
"Columbus Hill Capital Management, L.P.",2013,16.175501723693245
EATON VANCE MANAGEMENT,2013,16.17426184869053
COUNTRY FUND MANAGEMENT,2013,16.170036437138094
TOWER BRIDGE ADVISORS,2013,16.165751147815715
NORTHEAST INVESTMENT MANAGEMENT,2017,16.163812906253973
Selkirk Management LLC,2015,16.154113818139912
"OBERMEYER WOOD INVESTMENT COUNSEL, LLLP",2015,16.15240334026793
PHILADELPHIA TRUST CO,2015,16.14757192070537
CHESLEY TAFT & ASSOCIATES LLC/IL,2013,16.14320722178083
PacWest Financial Management Inc,2013,16.137868929465288
HARRIS ASSOCIATES L P,2013,16.135942206140616
"Reliant Investment Management, LLC",2017,16.12921260291447
"MARK SHEPTOFF FINANCIAL PLANNING, LLC",2015,16.12002866823999
Origin Asset Management LLP,2013,16.110303879293973
"Bruce & Co., Inc.",2017,16.10848253221442
ADAMS EXPRESS CO,2013,16.10413590004068
"Stux Capital Management, LLC",2013,16.101559046977638
"Chieftain Capital Management, Inc.",2013,16.09245241481088
HERITAGE INVESTORS MANAGEMENT CORP,2015,16.087239628711476
HERITAGE INVESTORS MANAGEMENT CORP,2013,16.0843932940898
SEAWARD MANAGEMENT LIMITED PARTNERSHIP,2017,16.084019921958163
SKBA CAPITAL MANAGEMENT LLC,2013,16.07686212793156
MEYER HANDELMAN CO,2013,16.073295618709643
ST GERMAIN D J CO INC,2015,16.07305190195136
FAIRFAX FINANCIAL HOLDINGS LTD/ CAN,2013,16.0708005757825
Dalton Investments LLC,2013,16.070516996078144
"Ashfield Capital Partners, LLC",2017,16.063994040522612
Moreno Evelyn V,2017,16.059630193225644
Princeton Portfolio Strategies Group LLC,2015,16.056771250504
"Guild Investment Management, Inc.",2015,16.055802631650163
MAIRS & POWER INC,2013,16.053560244587548
"Meru Capital Group, LP",2017,16.052230955554396
Independence Trust CO,2015,16.051135933687963
SASCO CAPITAL INC / CT/,2015,16.044444628365763
BRUNI J V & CO /CO,2017,16.042563044363572
"Smith, Salley & Associates",2013,16.041021075966793
BTR CAPITAL MANAGEMENT INC,2013,16.038627508136678
"Cullen Capital Management, LLC",2017,16.036863877242283
Clarkston Capital Partners LLC,2015,16.035541856955458
KANAWHA CAPITAL MANAGEMENT LLC,2015,16.035023009839094
"Krensavage Asset Management, LLC",2017,16.03378218261247
"First Eagle Investment Management, LLC",2017,16.03287209532861
SCHAFER CULLEN CAPITAL MANAGEMENT INC,2013,16.016037348165312
"ANDOR CAPITAL MANAGEMENT, L.L.C.",2013,16.016026147306135
"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC",2013,16.008277214912262
ARCADIA INVESTMENT MANAGEMENT CORP/MI,2013,16.007881003425666
RDL FINANCIAL INC,2017,16.007620984710186
UNITED STATES STEEL & CARNEGIE PENSION FUND,2017,16.00453910801471
OLD SECOND NATIONAL BANK OF AURORA,2013,16.002383974215917
White Pine Investment CO,2013,15.999427150008316
ROFFMAN MILLER ASSOCIATES INC /PA/,2013,15.99933358362815
Trinity Street Asset Management LLP,2015,15.993684625686226
FOUNDATION RESOURCE MANAGEMENT INC,2015,15.989258622178522
"COBIZ INVESTMENT MANAGEMENT, LLC",2013,15.988712858182803
Eagle Ridge Investment Management,2017,15.988636734952992
ENDEX CAPITAL MANAGEMENT LLC,2013,15.98815415160153
MARTIN CURRIE LTD,2015,15.983226152108859
"Private Wealth Advisors, Inc.",2013,15.981337511328352
DnB Asset Management AS,2013,15.979208492777861
"Nelson Roberts Investment Advisors, LLC",2013,15.962449624585867
"KING STREET CAPITAL MANAGEMENT, L.P.",2013,15.961920495323906
"International Value Advisers, LLC",2015,15.955883187333246
BRC Investment Management LLC,2013,15.953642173470788
CAPE COD FIVE CENTS SAVINGS BANK,2013,15.93913436430195
EVERENCE CAPITAL MANAGEMENT INC,2013,15.92976260341747
Kames Capital plc,2015,15.916494843204331
"American Assets Investment Management, LLC",2017,15.910564188370481
BOSTON PRIVATE WEALTH LLC,2017,15.905839249903325
"EDMP, INC.",2013,15.900270925487835
American Research & Management Co.,2013,15.893931651706588
BUCKHEAD CAPITAL MANAGEMENT LLC,2015,15.884273869653057
"Tradewinds Capital Management, LLC",2015,15.883662238546757
"A. D. Beadell Investment Counsel, Inc.",2013,15.879987745762952
"Diligent Investors, LLC",2015,15.878538608963956
"Liberty Capital Management, Inc.",2017,15.874073704895068
Platte River Capital LLC,2013,15.871536547526219
OAKBROOK INVESTMENTS LLC,2013,15.867594714928213
TAUBE HODSON STONEX PARTNERS LLP,2015,15.866077229665496
SECTOR GAMMA AS,2013,15.864437036619037
"GSB Podium Advisors, LLC",2013,15.85730038385244
PROFUND ADVISORS LLC,2015,15.851182976013783
Strategic Advisors LLC,2017,15.846366541300283
KELLY LAWRENCE W & ASSOCIATES INC/CA,2015,15.843992402667569
PALLADIUM PARTNERS LLC,2013,15.832730468215525
LOWE BROCKENBROUGH & CO INC,2015,15.831128444378209
LANE DOUGLAS C & ASSOCIATES INC,2013,15.829214106112886
"Hamilton Point Investment Advisors, LLC",2015,15.820839491314908
"Teewinot Capital Advisers, L.L.C.",2017,15.816258087604165
MAIRS & POWER INC,2015,15.814698286196148
CAZENOVE CAPITAL MANAGEMENT LTD,2013,15.807463692315986
"Praesidium Investment Management Company, LLC",2013,15.805645428361636
"Bruderman Asset Management, LLC",2015,15.8010865637084
Korea Investment CORP,2015,15.798052839167763
KEMPNER CAPITAL MANAGEMENT INC.,2013,15.797178651226355
Saturna Capital CORP,2015,15.794567450746955
GRAYBILL BARTZ & ASSOC LTD,2015,15.793589268223654
LGT CAPITAL PARTNERS LTD.,2017,15.792330809400351
CYPRESS FUNDS LLC,2015,15.78931362041381
"JACOBSON & SCHMITT ADVISORS, LLC",2017,15.781489638660256
Pictet & Cie (Europe) SA,2017,15.779993495688455
MASON CAPITAL MANAGEMENT LLC,2013,15.779835259385916
"Hamlin Capital Management, LLC",2017,15.770230618117022
"Van Hulzen Asset Management, LLC",2017,15.76737612013883
DIAMOND HILL CAPITAL MANAGEMENT INC,2017,15.763882450960567
CANADA PENSION PLAN INVESTMENT BOARD,2013,15.761311769419377
HealthInvest Partners AB,2017,15.760510285570241
ABNER HERRMAN & BROCK LLC,2013,15.760174976483805
GRAYBILL BARTZ & ASSOC LTD,2017,15.756734727421758
Coronation Asset Management (Pty) Ltd.,2013,15.741224764740963
MARSHWINDS ADVISORY CO,2015,15.740834350502933
"NEW CENTURY INVESTMENT MANAGEMENT, INC",2015,15.736038306943525
Barton Investment Management,2017,15.729783287597293
FRONTIER INVESTMENT MGMT CO,2015,15.72782816276836
Supplemental Annuity Collective Trust of NJ,2015,15.723300522745884
MONETARY MANAGEMENT GROUP INC,2015,15.72117455867854
ATWOOD & PALMER INC,2017,15.721113123562358
Black Creek Investment Management Inc.,2015,15.720239072284546
Fiduciary Group LLC,2015,15.719531084280964
JACOBS & CO/CA,2017,15.717863967571054
"Jasper Ridge Partners, L.P.",2013,15.714612280919434
Capital World Investors,2015,15.709512124186729
Toscafund Asset Management LLP,2015,15.699849189513829
CCM INVESTMENT ADVISERS LLC,2015,15.695658229757576
"Alethea Capital Management, LLC",2017,15.69410117679619
JOHO CAPITAL LLC,2017,15.689751072478092
RWC Asset Management LLP,2015,15.68919455272894
"Jackson Square Partners, LLC",2015,15.662505941784254
MOON CAPITAL MANAGEMENT LP,2015,15.652645946117687
SECURITY NATIONAL BANK OF SIOUX CITY IOWA /IA/,2013,15.65040638321041
"SkyBridge Capital II, LLC",2017,15.649160138138255
DAVIDSON & GARRARD INC,2015,15.649008797597082
DOCK STREET ASSET MANAGEMENT INC,2017,15.643897804821012
AMICA PENSION FUND BOARD OF TRUSTEES,2013,15.638255898830643
CATAWBA CAPITAL MANAGEMENT /VA,2017,15.637217720692401
"REILLY FINANCIAL ADVISORS, LLC",2013,15.636835612185378
DAVIDSON & GARRARD INC,2017,15.634464262389205
NORDEA INVESTMENT MANAGEMENT AB,2017,15.63422840231305
SYNOVUS FINANCIAL CORP,2013,15.632307397517724
"First City Capital Management, Inc.",2017,15.63172850888305
UNDERHILL INVESTMENT MANAGEMENT LLC,2017,15.631434952380259
SEAWARD MANAGEMENT LIMITED PARTNERSHIP,2015,15.62809106349977
BECK MACK & OLIVER LLC,2013,15.610987781381656
South Street Advisors LLC,2013,15.593123553520094
Colonial Trust Advisors,2017,15.588858594920783
CHARTIST INC /CA/,2017,15.584005948655488
Amica Retiree Medical Trust,2017,15.580616926778756
"Country Club Trust Company, n.a.",2017,15.579669620993066
TOWER BRIDGE ADVISORS,2015,15.577660824188069
DnB Asset Management AS,2017,15.577153723896924
INVESTMENTAKTIENGESELLSCHAFT FUER LANGFRISTIGE INVESTOREN TGV,2017,15.572775552954484
HOLDERNESS INVESTMENTS CO,2015,15.569020880035037
"Court Place Advisors, LLC",2017,15.565204241315692
"TCI Wealth Advisors, Inc.",2017,15.55955829341698
PLATINUM INVESTMENT MANAGEMENT LTD,2017,15.557080090724238
REGENTS OF THE UNIVERSITY OF CALIFORNIA,2015,15.553013143581003
Merchants' Gate Capital LP,2013,15.550455687119973
CI INVESTMENTS INC.,2015,15.546904739588324
Rathbone Brothers plc,2013,15.544887725470318
NORTHSTAR INVESTMENT ADVISORS LLC,2017,15.542292870440065
MARSHWINDS ADVISORY CO,2013,15.538090462558872
FOSTER DYKEMA CABOT & CO INC/MA,2013,15.53799687246487
Pennsylvania Trust Co,2015,15.532880849452017
DAVIS-REA LTD.,2015,15.522456458521903
"Sterling Investment Management, Inc.",2015,15.518774982718226
BRC Investment Management LLC,2015,15.514557752671248
PINNACLE FINANCIAL PARTNERS INC,2013,15.511173145815167
Odey Holdings AG,2017,15.50834231839944
SOLARIS ASSET MANAGEMENT LLC,2015,15.505502078312423
"Talara Capital Management, LLC",2015,15.502086562474712
PIEDMONT INVESTMENT ADVISORS LLC,2015,15.490920164822745
"Greenbrier Partners Capital Management, LLC",2015,15.490545491963731
JUPITER ASSET MANAGEMENT LTD,2017,15.489407125304256
GRUSS & CO INC,2017,15.486476276912175
HABERER REGISTERED INVESTMENT ADVISOR INC,2013,15.485775096218564
ZEVIN ASSET MANAGEMENT LLC,2015,15.485231528994106
Sarasin & Partners LLP,2017,15.469592749367735
TRUST CO,2015,15.468542362443511
"THOMPSON INVESTMENT MANAGEMENT, INC.",2017,15.467884338020015
EATON VANCE MANAGEMENT,2015,15.460746829990452
"International Value Advisers, LLC",2013,15.454014307769746
"Orbis Investment Management (U.S.), LLC",2017,15.453979371101761
HARBOUR INVESTMENT MANAGEMENT LLC,2013,15.452116622839414
KITZINGER LAUTMANN CAPITAL MANAGEMENT INC,2013,15.45071618975369
BURKE & HERBERT BANK & TRUST CO,2015,15.447312872972786
FIRST NIAGARA BANK,2015,15.446954289535006
ALBION FINANCIAL GROUP /UT,2015,15.442792877644408
DEARBORN PARTNERS LLC,2015,15.439905136457517
"First Trust Bank, Ltd.",2017,15.4387781464182
CHECK CAPITAL MANAGEMENT INC/CA,2015,15.429043585546662
Lipe & Dalton,2017,15.423480511063781
Cardinal Capital Management,2017,15.41941630025547
Cypress Capital Management LLC (WY),2015,15.418230742272177
"Merriman Wealth Management, LLC",2017,15.413873013893188
Rodgers Brothers Inc.,2017,15.413426544879858
ROYAL LONDON ASSET MANAGEMENT LTD,2013,15.412356035167598
New Jersey Better Educational Savings Trust,2015,15.408082623814611
Sather Financial Group Inc,2015,15.39583281741897
"Bruce & Co., Inc.",2015,15.391009017841709
BONTEMPO OHLY CAPITAL MGMT LLC,2015,15.390209511906223
"Atlas Brown,Inc.",2017,15.388145899633287
SCHAPER BENZ & WISE INVESTMENT COUNSEL INC/WI,2015,15.386668065688024
BRITISH COLUMBIA INVESTMENT MANAGEMENT CORP,2013,15.374367230171611
ROCKSHELTER CAPITAL MANAGEMENT LLC,2017,15.356163903425728
BRADLEY FOSTER & SARGENT INC/CT,2013,15.353409135978955
HARTLINE INVESTMENT CORP/,2013,15.34753226576718
MARCO INVESTMENT MANAGEMENT LLC,2015,15.346956476987845
"Fisher Asset Management, LLC",2015,15.340840410961984
"GOODNOW INVESTMENT GROUP, LLC",2013,15.334959244962858
"Cambridge Financial Group, Inc.",2015,15.32598029351003
COUNTRY TRUST BANK,2017,15.322845031454655
TRADITION CAPITAL MANAGEMENT LLC,2013,15.322229617045094
"Brown Advisory Securities, LLC",2015,15.309369463364705
"Nippon Life Global Investors Americas, Inc.",2015,15.308263779853865
"REILLY FINANCIAL ADVISORS, LLC",2015,15.308194817274007
iAB Financial Bank,2013,15.306213523681517
CAMBRIDGE TRUST CO,2015,15.305793957136771
PAR CAPITAL MANAGEMENT INC,2017,15.304993214325886
ZWJ INVESTMENT COUNSEL INC,2015,15.303941172539815
"Twin Tree Management, LP",2013,15.300257105385358
"Spindletop Capital, LLC",2017,15.298745956957045
Edinburgh Partners Ltd,2017,15.295882036089974
"Brandywine Global Investment Management, LLC",2013,15.293611189520778
Trust Co,2015,15.292799697118895
CATAWBA CAPITAL MANAGEMENT /VA,2015,15.287867550936745
W.G. Shaheen & Associates DBA Whitney & Co,2017,15.277108975777162
MRJ CAPITAL INC,2017,15.275923213974313
MCRAE CAPITAL MANAGEMENT INC,2013,15.273594746612327
"Essex Financial Services, Inc.",2015,15.262916300106719
MONETARY MANAGEMENT GROUP INC,2017,15.261546308007263
Crestwood Advisors LLC,2013,15.258088059880055
Winchester Group Inc.,2013,15.252732229785849
Wood Investment Counsel LLC,2013,15.248181847380042
DF DENT & CO INC,2013,15.246817756556075
Parametrica Management Ltd,2013,15.243583682508799
"BLB&B Advisors, LLC",2017,15.242859437417307
"Maple Capital Management, Inc.",2015,15.236267508457521
Capital World Investors,2017,15.234351567216939
PARSONS CAPITAL MANAGEMENT INC/RI,2017,15.233069700739765
"HHR Asset Management, LLC",2015,15.232646701595876
Soroban Capital Partners LP,2017,15.220348366146158
HARBOUR INVESTMENT MANAGEMENT LLC,2017,15.215471635134755
SCFF MANAGEMENT LLC,2013,15.213725030144069
VAUGHAN DAVID INVESTMENTS INC/IL,2015,15.21065414690813
"AJO, LP",2017,15.209671341054323
"St. James Investment Company, LLC",2017,15.207159774385474
THOMPSON RUBINSTEIN INVESTMENT MANAGEMENT INC /OR/,2013,15.205140367462658
OLD SECOND NATIONAL BANK OF AURORA,2015,15.204098653379345
ACCIDENT COMPENSATION CORP,2017,15.202413576344584
"ISTHMUS PARTNERS, LLC",2017,15.201123159228855
"Edgestream Partners, L.P.",2017,15.1983776346035
Archon Partners LLC,2013,15.18627372414883
HealthInvest Partners AB,2015,15.175299618003242
iAB Financial Bank,2017,15.164539820138742
"Knighthead Capital Management, LLC",2013,15.164137297643345
Bellecapital International Ltd.,2017,15.16385883609119
BP PLC,2013,15.15820238023215
PAPP L ROY & ASSOCIATES,2013,15.150004718559638
WEYBOSSET RESEARCH & MANAGEMENT LLC,2017,15.148398794323345
Hosking & Co Ltd,2015,15.147329444447902
KEMPNER CAPITAL MANAGEMENT INC.,2015,15.1471423128391
"Clear Harbor Asset Management, LLC",2013,15.141421478922158
SOUND SHORE MANAGEMENT INC /CT/,2015,15.132949676899157
CAPE COD FIVE CENTS SAVINGS BANK,2015,15.126007345080176
"AFFINITY INVESTMENT ADVISORS, LLC",2015,15.115233952535839
Northeast Financial Consultants Inc,2015,15.114427903950302
SECTORAL ASSET MANAGEMENT INC,2017,15.110793433680643
RIVERPARK CAPITAL MANAGEMENT LLC,2017,15.108613639876456
Addison Capital Co,2015,15.102129335492746
"WMS Partners, LLC",2013,15.09851889124056
RESTRUCTURING CAPITAL ASSOCIATES LP,2013,15.092879875991239
"Brandywine Global Investment Management, LLC",2015,15.09205915618421
GEORGIA BENNICAS DBA BENNICAS & ASSOCIATES,2013,15.091689731380399
HALSEY ASSOCIATES INC/CT,2017,15.090521922082313
DAVIDSON & GARRARD INC,2013,15.08420720865773
Egerton Capital (UK) LLP,2017,15.077575645056527
Willis Investment Counsel,2015,15.070157928154181
"THOMASPARTNERS, INC.",2015,15.069794231022318
"Douglass Winthrop Advisors, LLC",2013,15.065360405415083
ADVISOR PARTNERS LLC,2015,15.057968440329535
MARSHWINDS ADVISORY CO,2017,15.053821951988379
AMICA MUTUAL INSURANCE CO,2013,15.052519937380815
"Glaxis Capital Management, LLC",2013,15.052034627237656
"12th Street Asset Management Company, LLC",2017,15.050239956774153
NLI INTERNATIONAL INC,2013,15.042796410395638
Corbenic Partners LLC,2017,15.040225268908344
DF DENT & CO INC,2015,15.03703538467778
Odey Asset Management Group Ltd,2013,15.031830561480476
"Nepsis Capital Management, Inc.",2017,15.026075992887344
RWC Asset Management LLP,2017,15.024267007173666
UNIVEST CORP OF PENNSYLVANIA,2015,15.008829693167657
"Rock Point Advisors, LLC",2015,15.007151304029684
"CORDA Investment Management, LLC.",2017,14.993282188591168
Taylor Wealth Management Partners,2017,14.976921237307756
Cumberland Partners Ltd,2015,14.97555546176188
CATAWBA CAPITAL MANAGEMENT /VA,2013,14.971973083487605
"Liberty Capital Management, Inc.",2013,14.965192145026727
ZACKS INVESTMENT MANAGEMENT,2017,14.962933891205516
"PARTNERS CAPITAL INVESTMENT GROUP (HOLDINGS), LLC",2017,14.95921031517489
DIAMOND HILL CAPITAL MANAGEMENT INC,2015,14.956793067057374
SECURITY NATIONAL BANK OF SO DAK,2017,14.956681230767584
Sabal Trust CO,2013,14.955131840457552
GREENLIGHT CAPITAL INC,2015,14.954199420791216
"WCG Management, L.P.",2015,14.948535934421464
DE BURLO GROUP INC,2013,14.947736261447647
MONETARY MANAGEMENT GROUP INC,2013,14.937175927176101
HOLDERNESS INVESTMENTS CO,2017,14.934326291642968
LODESTAR INVESTMENT COUNSEL LLC/IL,2015,14.930705632550602
BRISTOL JOHN W & CO INC /NY/,2013,14.92905190753191
"Quaker Capital Investments, LLC",2015,14.928524247888005
Sather Financial Group Inc,2013,14.918837396566444
DEARBORN PARTNERS LLC,2017,14.918010195190696
OAKBROOK INVESTMENTS LLC,2015,14.916403443721311
TDAM USA INC.,2015,14.91370887716077
BURKE & HERBERT BANK & TRUST CO,2017,14.91343868620956
"Stellar Capital Management, LLC",2015,14.912563923441649
HIGHSIDE CAPITAL MANAGEMENT L P,2013,14.9093441341013
TOKIO MARINE ASSET MANAGEMENT CO LTD,2013,14.909325926402706
GUARDIAN INVESTOR SERVICES LLC,2013,14.907568745315292
"ATALANTA SOSNOFF CAPITAL, LLC",2013,14.904133490859754
"Verity & Verity, LLC",2015,14.899597943035236
EVERETT HARRIS & CO /CA/,2013,14.895875115101472
Texan Capital Management,2017,14.893674124435398
"ABRAMS CAPITAL MANAGEMENT, L.P.",2013,14.886737983284686
BERKSHIRE ASSET MANAGEMENT LLC/PA,2013,14.885508174601256
"TBP Investments Management, LLC",2013,14.877734852160847
"Ohio National Investments, Inc.",2015,14.873586003229248
AGRAN LIBBIE,2013,14.871757626238116
South Street Advisors LLC,2015,14.871202162883787
"First Pacific Advisors, LLC",2013,14.865208526729765
"Legg Mason Asset Management (Japan) Co., Ltd.",2013,14.859669197340624
SECURITY NATIONAL BANK OF SIOUX CITY IOWA /IA/,2015,14.85958269465138
USS Investment Management Ltd,2015,14.852755419463493
AVENIR CORP,2015,14.846833236773927
"REDWOOD CAPITAL MANAGEMENT, LLC",2017,14.840883610982068
INGALLS & SNYDER LLC,2017,14.830679223693219
VGI PARTNERS PTY Ltd,2015,14.819125206896695
S&CO INC,2017,14.814731400018255
"Horan Capital Advisors, LLC.",2017,14.812459058234511
Gareth Morgan Investments Limited Partnership,2013,14.811839187212023
SHIKIAR ASSET MANAGEMENT INC,2017,14.8097405350995
MUTUAL OF OMAHA BANK WEALTH MANAGEMENT,2015,14.798147137781593
FRANKLIN STREET ADVISORS INC /NC,2017,14.79810281158238
FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,2013,14.798036745615535
Heathbridge Capital Management Ltd.,2013,14.797519670668446
FORBES J M & CO LLP,2017,14.795465000502691
"Pershing Square Capital Management, L.P.",2013,14.789117816973011
Robeco Institutional Asset Management B.V.,2013,14.783406953118636
COLDSTREAM CAPITAL MANAGEMENT INC,2013,14.778076734193998
"CORDA Investment Management, LLC.",2013,14.772253005366009
"ATALANTA SOSNOFF CAPITAL, LLC",2015,14.771336449886428
Semper Trust Co.,2013,14.769847059386414
EXXONMOBIL INVESTMENT MANAGEMENT INC /TX,2013,14.768924099381977
Pegasus Partners Ltd.,2015,14.76687320330333
"SIGNATUREFD, LLC",2013,14.766816231605983
ARCADIA INVESTMENT MANAGEMENT CORP/MI,2017,14.7657748797069
SEAWARD MANAGEMENT LIMITED PARTNERSHIP,2013,14.763442446156976
COOKSON PEIRCE & CO INC,2013,14.758419725150146
MITCHELL MCLEOD PUGH & WILLIAMS INC,2015,14.751733290276693
UNITED STATES STEEL & CARNEGIE PENSION FUND,2015,14.749911070194072
3G Capital Partners LP,2017,14.749422458597158
LAWSON KROEKER INVESTMENT MANAGEMENT INC/NE,2015,14.747640779420719
"Rock Point Advisors, LLC",2013,14.746232510019066
TIGER VEDA MANAGEMENT LLC,2015,14.743270703924095
"A. D. Beadell Investment Counsel, Inc.",2015,14.738798224821343
MCGLINN CAPITAL MANAGEMENT INC,2013,14.738399304014928
PacWest Financial Management Inc,2015,14.738255199520076
HARTFORD INVESTMENT MANAGEMENT CO,2013,14.736482067957906
BOSTON PRIVATE WEALTH LLC,2015,14.730022211211509
HYMAN CHARLES D,2017,14.729580054976852
SHELTON CAPITAL MANAGEMENT,2013,14.725998735695878
CAPITAL INTERNATIONAL LTD /CA/,2015,14.712993957525224
"PETTYJOHN, WOOD & WHITE, INC",2015,14.711377132042696
THOMAS STORY & SON LLC,2013,14.70957347496504
HENDERSON GROUP PLC,2013,14.70792069721028
"Cavalry Management Group, LLC",2017,14.707706335440392
"ANDOR CAPITAL MANAGEMENT, L.L.C.",2015,14.705052533452935
PEOPLES FINANCIAL SERVICES CORP.,2017,14.701386770157853
"Puplava Financial Services, Inc.",2017,14.700973660224811
"CARRET ASSET MANAGEMENT, LLC",2015,14.700449976538085
Portfolio 21 Investments,2013,14.699475323935571
BRIDGES INVESTMENT COUNSEL INC/,2015,14.698148626190756
MARTIN CURRIE LTD,2013,14.695617335175134
Triangle Securities Wealth Management,2015,14.693450532181075
"Grosvenor Capital Management, L.P.",2017,14.68621386896621
ARCADIA INVESTMENT MANAGEMENT CORP/MI,2015,14.683635262272322
SCHALLER INVESTMENT GROUP INC,2015,14.678808123250441
"Parsec Financial Management, Inc.",2013,14.676737690034638
FIR TREE INC.,2013,14.67437935965115
TAM Capital Management Inc.,2015,14.668233906649577
PIEDMONT INVESTMENT ADVISORS LLC,2017,14.663359609263592
SCHAPER BENZ & WISE INVESTMENT COUNSEL INC/WI,2013,14.660857610994327
CNA FINANCIAL CORP,2013,14.660025045387693
"GFS Advisors, LLC",2013,14.657662851270858
"Lafayette Investments, Inc.",2015,14.657013323192743
Jones Collombin Investment Counsel Inc,2013,14.655133963419239
SECTORAL ASSET MANAGEMENT INC,2015,14.652827091402731
Raab & Moskowitz Asset Management LLC,2017,14.644131199161121
CUTLER INVESTMENT COUNSEL LLC,2017,14.641256313915322
"Reynders McVeigh Capital Management, LLC",2017,14.638968503228709
CHICAGO EQUITY PARTNERS LLC,2013,14.633917801707792
"MSDC Management, L.P.",2013,14.631867119392584
CROFT-LEOMINSTER INC,2013,14.63084558696459
CLARK ESTATES INC/NY,2015,14.630281653897283
GMT CAPITAL CORP,2013,14.625049002227879
NorthCoast Asset Management LLC,2017,14.617755536309597
"Neumann Capital Management, LLC",2015,14.615067647405866
"SeaStone Capital Management, L.P.",2015,14.613434939588643
"Carlton Hofferkamp & Jenks Wealth Management, LLC",2015,14.607119386746193
ClariVest Asset Management LLC,2015,14.606268959105611
BARR E S & CO,2013,14.60277783975203
"Kenmare Capital Partners, L.L.C.",2017,14.594440053093145
"FORT, L.P.",2017,14.590836142654354
NWI MANAGEMENT LP,2017,14.581149578735939
"Summit Financial Wealth Advisors, LLC",2015,14.580008647891553
WHITE PINE CAPITAL LLC,2013,14.578455988055774
PIONEER INVESTMENT MANAGEMENT INC,2017,14.576845399943542
"Fisher Asset Management, LLC",2013,14.57502854363675
"UNITED BANK, INC.",2013,14.56181883056985
"D.C. Capital Advisors, Ltd",2017,14.558506762721057
ANDERSON HOAGLAND & CO,2015,14.553470332739932
Saturna Capital CORP,2017,14.553365333284459
SUNTRUST BANKS INC,2015,14.55271138155318
PARK NATIONAL CORP /OH/,2015,14.546717902310995
"Aristotle Capital Management, LLC",2015,14.54497421606195
MURPHY CAPITAL MANAGEMENT INC,2013,14.542553258177364
"KSA CAPITAL MANAGEMENT, LLC",2017,14.533568493961678
Numeric Investors LLC,2015,14.525725347158167
NORRIS PERNE & FRENCH LLP/MI,2013,14.514706826236054
"WEBSTER BANK, N. A.",2015,14.512505632981885
